sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
B-L1,Banana L1,Banana,L1,B L1,25617,22888,sample,brood,brood,brood,14,6.080186442,0.82540327,17.50725741,165,brood
B-L2,Banana L2,Banana,L2,B L2,9361,8382,sample,brood,brood,brood,14,6.441395427,0.850076665,17.82772591,191,brood
C-F2,Carrot F2,Carrot,F2,C F2,53436,49335,sample,brood,brood,brood,36,0.804627312,0.135136175,9.362293327,62,brood/reproductive
DC-O1,DC O1,DC,O1,DC O1,6569,5564,sample,brood,brood,brood,39,6.025593404,0.915053564,10.60130471,96,brood/reproductive
DC-P1,DC P1,DC,P1,DC P1,14415,12535,sample,brood,brood,brood,49,7.191215308,0.909487139,19.41667108,240,brood
DC-Q1,DC Q1,DC,Q1,DC Q1,16638,13674,sample,brood,brood,brood,49,5.933507335,0.786218406,18.47888175,187,brood/reproductive
DC-R2,DC R2,DC,R2,DC R2,16615,12800,sample,brood,brood,brood,44,4.697812818,0.641608707,17.54192759,160,brood/reproductive
E-D1,Eggplant D1,Eggplant,D1,E D1,10911,9412,sample,brood,brood,brood,28,4.755942389,0.660577615,17.65321422,147,brood
E-L1,Eggplant L1,Eggplant,L1,E L1,10405,8961,sample,brood,brood,brood,15,6.336428742,0.899499465,12.04934216,132,brood
B-D6,Banana D6,Banana,D6,B D6,37233,31611,sample,reproductives,reproductives,reproductives,35,4.147621252,0.659881597,12.57879322,78,brood/reproductive
B-I2,Banana I2,Banana,I2,B I2,13167,7110,sample,reproductives,reproductives,reproductives,32,5.366384557,0.851296194,16.23480903,79,brood
B-J2,Banana J2,Banana,J2,B J2,27857,24752,sample,reproductives,reproductives,reproductives,20,7.09630742,0.931023245,18.93072239,197,brood
C-F1,Carrot F1,Carrot,F1,C F1,18024,16177,sample,reproductives,reproductives,reproductives,36,4.89732959,0.863357258,7.319751817,51,brood/reproductive
DC-O2,DC O2,DC,O2,DC O2,22507,19438,sample,reproductives,reproductives,reproductives,39,5.764216314,0.846763006,11.03970398,112,brood/reproductive
DC-Q2,DC Q2,DC,Q2,DC Q2,16618,8974,sample,reproductives,reproductives,reproductives,49,5.414434223,0.737676413,17.55210534,162,brood/reproductive
DC-R1,DC R1,DC,R1,DC R1,15349,8780,sample,reproductives,reproductives,reproductives,44,4.825388585,0.752862266,12.11775904,85,brood/reproductive
A-B1,Apple B1,Apple,B1,A B1,23674,20840,sample,seeds,seeds,seeds,9,4.532911745,0.676509593,11.22559095,104,seeds
A-D1,Apple D1,Apple,D1,A D1,33413,29079,sample,seeds,seeds,seeds,7,1.828993536,0.651500643,2.924268996,7,seeds
A-H1,Apple H1,Apple,H1,A H1,21233,16634,sample,seeds,seeds,seeds,13,3.603055209,0.545924665,12.71270555,97,seeds
B-H1,Banana H1,Banana,H1,B H1,20400,18727,sample,seeds,seeds,seeds,26,1.102682364,0.275670591,4.320423548,16,seeds
B-K2,Banana K2,Banana,K2,B K2,43475,38808,sample,seeds,seeds,seeds,12,0.936658858,0.333644617,2.912691022,7,brood/seeds
B-K6,Banana K6,Banana,K6,B K6,32323,29263,sample,seeds,seeds,seeds,12,4.842433701,0.738785271,11.01574122,94,brood/seeds
C-C1,Carrot C1,Carrot,C1,C C1,25374,22598,sample,seeds,seeds,seeds,38,3.717448166,0.530213618,13.19373268,129,seeds
C-D1,Carrot D1,Carrot,D1,C D1,15195,13367,sample,seeds,seeds,seeds,22,5.675173321,0.791524782,14.35351967,144,seeds
C-I1,Carrot I1,Carrot,I1,C I1,37529,34049,sample,seeds,seeds,seeds,26,5.507689092,0.73359613,17.02899818,182,seeds
C-I2,Carrot I2,Carrot,I2,C I2,32310,29094,sample,seeds,seeds,seeds,26,2.716945993,0.414510514,10.49174697,94,seeds
C-K1,Carrot K1,Carrot,K1,C K1,34510,30974,sample,seeds,seeds,seeds,6,1.772791819,0.685809492,3.017657705,6,seeds
