id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
B-J3,Banana,J,J3,B J3,39612,36741,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_20,20,0.333333333,ants20,J_20,ants,0.505362621,0.093132688,9.102190567,43,0.103819243,73,,20
B-J4,Banana,J,J4,B J4,8196,7135,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_20,20,0.333333333,soil20,J_20,soil,6.661444921,0.912054339,17.29312814,158,0.986445911,158,,20
B-J5,Banana,J,J5,B J5,7207,6182,control,control near,control,soil,Banana_control,Banana_control,high,Banana_20,20,0.333333333,control near20,J_20,control,6.513807541,0.912355303,14.28594372,141,0.985212596,141.125,,20
B-J6,Banana,J,J6,B J6,9647,8527,control,control far,control,soil,Banana_control,Banana_control,high,Banana_20,20,0.333333333,control far20,J_20,control,6.807303623,0.908627483,17.6935282,180,0.987069444,181.8666667,,20
B-K1,Banana,K,K1,B K1,15774,13307,sample,brood,brood,ants,Banana_brood,Banana_sample,high,Banana_12,12,0.2,brood12,K_12,brood,5.36015599,0.723427342,17.29374726,170,0.909200848,180.9285714,,12
B-K2,Banana,K,K2,B K2,43475,38808,sample,seeds,seeds,seeds,Banana_seeds,Banana_sample,high,Banana_12,12,0.2,seeds12,K_12,seeds,0.936658858,0.333644617,2.912691022,7,0.378816103,7,,12
B-K3,Banana,K,K3,B K3,8722,7653,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_12,12,0.2,soil12,K_12,soil,6.687992281,0.90160761,18.55958677,171,0.986191364,172.3125,,12
B-K4,Banana,K,K4,B K4,39311,36358,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_12,12,0.2,ants12,K_12,ants,0.219081542,0.049127683,5.317674642,22,0.041490692,25,,12
B-K5,Banana,K,K5,B K5,10058,8930,control,control near,control,soil,Banana_control,Banana_control,high,Banana_12,12,0.2,control near12,K_12,control,6.125185956,0.851924258,16.56265995,146,0.967341598,151.5,,12
B-K6,Banana,K,K6,B K6,32323,29263,sample,leaf,seeds,seeds,Banana_seeds,Banana_sample,high,Banana_12,12,0.2,leaf12,K_12,seeds,4.842433701,0.738785271,11.01574122,94,0.939101556,95.875,,12
B-L1,Banana,L,L1,B L1,25617,22888,sample,brood,brood,ants,Banana_brood,Banana_sample,high,Banana_14,14,0.233333333,brood14,L_14,brood,6.080186442,0.82540327,17.50725741,165,0.96331285,165,,14
B-L2,Banana,L,L2,B L2,9361,8382,sample,brood,brood,ants,Banana_brood,Banana_sample,high,Banana_14,14,0.233333333,brood14,L_14,brood,6.441395427,0.850076665,17.82772591,191,0.977157392,193.1538462,,14
B-L3,Banana,L,L3,B L3,38006,34615,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_14,14,0.233333333,ants14,L_14,ants,0.475167328,0.108181464,6.027551751,21,0.120783895,25.2,,14
B-L4,Banana,L,L4,B L4,30625,28435,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_14,14,0.233333333,ants14,L_14,ants,0.402034317,0.073205585,8.894463224,45,0.06999017,55.90909091,,14
B-L5,Banana,L,L5,B L5,6713,5956,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_14,14,0.233333333,soil14,L_14,soil,6.060371675,0.863009719,15.9326253,130,0.97264308,130,,14
B-L6,Banana,L,L6,B L6,8759,7750,control,control near,control,soil,Banana_control,Banana_control,high,Banana_14,14,0.233333333,control near14,L_14,control,6.703894202,0.893870928,19.05290529,181,0.98395789,184.2352941,,14
